timestamp,site_id,pv_actual_kw,load_kw,battery_power_kw,electricity_price
2026-03-01 10:30:00,site_partial01,48.74,36.07,0.05,5.22
2026-03-01 10:45:00,site_partial01,49.09,34.85,0.31,5.27
2026-03-01 11:00:00,site_partial01,50.06,35.29,-0.24,4.96
2026-03-01 11:15:00,site_partial01,44.36,37.77,0.36,4.81
2026-03-01 11:30:00,site_partial01,54.08,37.68,0.05,5.03
2026-03-01 11:45:00,site_partial01,48.79,38.92,0.35,4.74
2026-03-01 12:00:00,site_partial01,45.7,37.79,-0.22,4.75
2026-03-01 12:15:00,site_partial01,54.8,39.52,-0.39,5.25
2026-03-01 12:30:00,site_partial01,51.99,40.9,0.48,4.88
2026-03-01 12:45:00,site_partial01,49.45,37.76,0.05,5.1
2026-03-01 13:00:00,site_partial01,51.18,38.73,0.33,4.88
2026-03-01 13:15:00,site_partial01,50.72,41.33,-0.31,4.77
2026-03-01 13:30:00,site_partial01,48.44,40.65,0.06,5.28
2026-03-01 13:45:00,site_partial01,44.39,38.56,-0.07,5.19
2026-03-01 14:00:00,site_partial01,42.84,40.42,-0.28,5.02
2026-03-01 14:15:00,site_partial01,44.43,40.87,-0.47,5.27
2026-03-01 14:30:00,site_partial01,38.38,39.97,-0.07,5.02
2026-03-01 14:45:00,site_partial01,37.14,39.61,-0.24,4.93
2026-03-01 15:00:00,site_partial01,35.23,37.69,0.13,5.01
2026-03-01 15:15:00,site_partial01,35.05,38.15,-0.34,5.21
2026-03-01 15:30:00,site_partial01,33.74,40.42,0.21,4.93
2026-03-01 15:45:00,site_partial01,30.49,38.87,-0.12,4.9
2026-03-01 16:00:00,site_partial01,29.28,38.26,8.27,7.9
2026-03-01 16:15:00,site_partial01,27.18,40.09,7.53,7.99
2026-03-01 16:30:00,site_partial01,20.08,36.55,7.86,8.24
2026-03-01 16:45:00,site_partial01,17.4,35.6,7.98,7.95
2026-03-01 17:00:00,site_partial01,16.06,36.55,8.25,8.04
2026-03-01 17:15:00,site_partial01,11.37,34.91,7.96,8.11
2026-03-01 17:30:00,site_partial01,8.23,34.81,7.74,8.26
2026-03-01 17:45:00,site_partial01,3.73,36.5,8.03,8.08
2026-03-01 18:00:00,site_partial01,0.0,33.39,8.31,7.94
2026-03-01 18:15:00,site_partial01,0.0,35.94,7.64,8.01
2026-03-01 18:30:00,site_partial01,0.0,33.33,7.7,7.9
2026-03-01 18:45:00,site_partial01,0.0,31.83,7.54,8.19
2026-03-01 19:00:00,site_partial01,0.0,31.7,8.38,8.07
2026-03-01 19:15:00,site_partial01,0.0,30.64,8.21,8.29
2026-03-01 19:30:00,site_partial01,0.0,31.09,8.2,8.08
2026-03-01 19:45:00,site_partial01,0.0,29.75,8.34,8.1
2026-03-01 20:00:00,site_partial01,0.0,31.27,8.34,7.87
2026-03-01 20:15:00,site_partial01,0.0,30.63,8.14,8.12
2026-03-01 20:30:00,site_partial01,0.0,28.7,8.41,8.29
2026-03-01 20:45:00,site_partial01,0.0,27.19,8.34,7.94
2026-03-01 21:00:00,site_partial01,0.0,28.01,7.6,7.72
2026-03-01 21:15:00,site_partial01,0.0,25.15,8.47,8.19
2026-03-01 21:30:00,site_partial01,0.0,27.67,8.1,7.96
2026-03-01 21:45:00,site_partial01,0.0,24.61,8.17,8.11
2026-03-01 22:00:00,site_partial01,0.0,23.02,-7.7,3.23
2026-03-01 22:15:00,site_partial01,0.0,23.4,-7.53,3.21
2026-03-01 22:30:00,site_partial01,0.0,22.49,-7.57,3.23
2026-03-01 22:45:00,site_partial01,0.0,21.75,-8.48,3.04
2026-03-01 23:00:00,site_partial01,0.0,21.68,-8.2,2.97
2026-03-01 23:15:00,site_partial01,0.0,23.07,-7.66,3.22
2026-03-01 23:30:00,site_partial01,0.0,21.43,-8.38,3.16
2026-03-01 23:45:00,site_partial01,0.0,21.51,-8.38,3.03
